1	<html>@1<br> -Một</html>
ăn bận	<html>@ăn bận<br>-@ăn bận<br>* verb<br>- To dress</html>
ăn bốc	<html>@ăn bốc<br>-@ăn bốc<br>* verb<br>-to eat with the fingers</html>
ăn bớt	<html>@ăn bớt<br>-@ăn bớt<br>* verb<br>- To take stealthy rake off, to get pickings, to appropriate part of profits<br><br>@<br>- ăn cánh<br>* verb<br>- To be in collusion with, to be in confederacy with, to be in cahoots with, to be hand in glove with<br>=người ta đồn rằng một vài nhân viên thuế vụ đã ăn cánh với một băng buôn lậu để làm bậy+it is rumoured that some taxmen have been in collusion with a band of smugglers for evil-doing<br>=những kẻ bất lương này rất ăn cánh với nhau+these evildoers are as thick as thieves</html>
ăn chay	<html>@ăn chay<br>-@ăn chay<br>* verb<br>- To keep a vegetarian diet<br>=họ ăn chay quanh năm suốt tháng, họ ăn chay trường+they keep a vegetarian diet all year round</html>
ăn chơi	<html>@ăn chơi<br>-@ăn chơi<br>* verb<br>- To indulge in dissipation, to sink in depravity, to live a debauched life, to lead a life of debauchery<br>=người ăn chơi+playboy, debauchee</html>
ăn chắc	<html>@ăn chắc<br>-@ăn chắc<br>* verb<br>-to be on sure</html>
ăn chặn	<html>@ăn chặn<br>-@ăn chặn<br>* verb<br>- To appropriate part of<br>=chúng dám ăn chặn lương hưu của nhiều cựu chiến binh+they dared appropriate part of many war veterans' retirement pension</html>
ăn chẹt	<html>@ăn chẹt<br>-@ăn chẹt<br>* verb<br>- To take unfair advantage of<br>=tay đầu bếp ấy thường ăn chẹt khẩu phần bánh mì của các tù nhân+that cook usually takes unfair advantage of the prisoners' bread ration</html>
ăn cá	<html>@ăn cá<br>-@ăn cá<br>* verb<br>-to win a bet</html>
ăn cánh	<html>@ăn cánh<br>-@ăn cánh<br>* verb<br>-to take sides with someone; to be in collusion<br>=họ ăn_cánh với nhau+They are in collusion</html>
ăn cơm	<html>@ăn cơm<br>-@ăn cơm<br>* verb<br>-to have a meal; to take a meal</html>
ăn cơm tháng	<html>@ăn cơm tháng<br>-@ăn cơm tháng<br>* verb<br>-to board</html>
ăn cưới	<html>@ăn cưới<br>-@ăn cưới<br>* verb<br>-to participate in a wedding banquet;to attend a wedding</html>
ăn cướp	<html>@ăn cướp<br>-@ăn cướp<br>* verb<br>- To rob<br>=quan lại ăn cướp của dân+the mandarins robbed the people<br>=cuộc chiến tranh ăn cướp+a predatory war<br>=vừa ăn cướp vừa la làng, vừa đánh trống vừa ăn cướp+Thief crying "Stop thief!"</html>
ăn cắp	<html>@ăn cắp<br>-@ăn cắp<br>* verb<br>- To steal, to filch, to pilfer<br>=gã lưu manh bị bắt quả tang đang ăn cắp một chiếc xe đạp+the scoundrel is caught stealing a bicycle<br>=kẻ nghiện ma túy có thể ăn cắp vặt bất cứ lúc nào+drug addicts can pilfer at any time<br>=phạm tội ăn cắp+to be guilty of theft<br>=thói ăn cắp vặt, thói tắt mắt+kleptomania<br>=người hay ăn cắp vặt, người tắt mắt+kleptomaniac</html>
ăn cỗ	<html>@ăn cỗ<br>-@ăn cỗ<br>* verb<br>-to feast; to attend a banquet</html>
ăn da	<html>@ăn da<br>-@ăn da<br>* adj<br>- Caustic<br>=xút ăn da+caustic soda</html>
ăn diện	<html>@ăn diện<br>-@ăn diện<br>* verb<br>- To be stylish, to dress smartly<br>=thích ăn diện+to like stylish clothes, to like to dress smartly</html>
ăn gian	<html>@ăn gian<br>-@ăn gian<br>* verb<br>- To cheat<br>=đánh bạc ăn gian+to cheat at games</html>
ăn giá	<html>@ăn giá<br>-@ăn giá<br>* verb<br>- To strike a bargain, to come to terms<br>=nhà xuất khẩu Việt Nam và nhà nhập khẩu nước ngoài đã ăn giá với nhau+the Vietnamese exporter and the foreign importer have struck a bargain (have come to terms)</html>
ăn giải	<html>@ăn giải<br>-@ăn giải<br>* verb<br>-to win a prize</html>
ăn giỗ	<html>@ăn giỗ<br>-@ăn giỗ<br>* verb<br>-to celebrate the anniversary of someone's death</html>
ăn hiếp	<html>@ăn hiếp<br>-@ăn hiếp<br>* verb<br>- To bully, to tyrannize<br>=những tân binh non nớt thường bị viên thiếu úy già này ăn hiếp+raw recruits are often bullied by this old sub-lieutenant</html>
ăn hoa hồng	<html>@ăn hoa hồng<br>-@ăn hoa hồng<br>* verb<br>-to receive a commission<br>=sự bán ăn hoa hồng+sale on commission</html>
ăn hại	<html>@ăn hại<br>-@ăn hại<br>* verb<br>- To eat one's head off, to live as a parasite<br>=ăn hại xã hội+to live as a parasite of society, to sponge on society<br>=đồ ăn hại!+what a parasite! what a sponger!<br>=ăn hại đái nát+to eat out of house and home</html>
ăn học	<html>@ăn học<br>-@ăn học<br>* verb<br>- To study<br>=mười năm ăn học+ten years of study</html>
ăn hỏi	<html>@ăn hỏi<br>-@ăn hỏi<br>* verb<br>- To propose ritually (with an offering to the girl's parents)</html>
ăn hối lộ	<html>@ăn hối lộ<br>-@ăn hối lộ<br>* verb<br>-to take a bribe</html>
ăn không	<html>@ăn không<br>-@ăn không<br>* verb<br>- To live in idleness<br>=ăn không ngồi rồi, mấy cũng hết+In idleness, no wealth is inexhaustible<br>=nhàn cư vi bất thiện+the devil makes work for idle hands<br>- To appropriate, to trick out of<br>=gã địa chủ độc ác ăn không mấy mẫu ruộng của nông dân nghèo+the cruel landowner tricked the peasants out of several hectares of land<br>=ăn không ngồi rồi+To idle, to live a life of leisure<br>=tầng lớp ăn không ngồi rồi trong xã hội cũ+the leisured class in the old society</html>
ăn khớp	<html>@ăn khớp<br>-@ăn khớp<br>* verb<br>- To fit<br>=mộng ăn khớp+a fitting tenon<br>- To tally, to fit in with<br>=lời khai của cả hai nhân chứng đều không ăn khớp nhau+the evidence of both witnesses doesn't tally<br>=kế hoạch của ban kinh doanh phải ăn khớp với kế hoạch của toàn công ty+the schedule of the sales department must fit in with the schedule of the whole company</html>
ăn kiêng	<html>@ăn kiêng<br>-@ăn kiêng<br>* verb<br>-to be on a diet</html>
ăn lan	<html>@ăn lan<br>-@ăn lan<br>* verb<br>-to enlarge; to spread</html>
ăn làm	<html>@ăn làm<br>-@ăn làm<br>* verb<br>- To work for one's living<br>=ăn thật làm giả+to work perfunctorily<br>=kẻ ăn người làm+the servants, the domestics<br>=ăn bợ làm biếng+to be a lazy-bones</html>
ăn lãi	<html>@ăn lãi<br>-@ăn lãi<br>* verb<br>-to make profits</html>
ăn lương	<html>@ăn lương<br>-@ăn lương<br>* verb<br>-to receive one's salary<br>=những ngày nghỉ ăn lương+holidays with pay</html>
ăn lời	<html>@ăn lời<br>-@ăn lời<br>* verb<br>- To obey, to take advice of<br>=ăn lời thầy giáo+to obey one's teacher<br>- To go back upon one's word</html>
ăn mày	<html>@ăn mày<br>-@ăn mày<br>* verb<br>- To beg (for a living, for aid..)<br>* noun<br>- Beggar<br>=ăn mày đòi xôi gấc+beggars must not be choosers</html>
ăn mòn	<html>@ăn mòn<br>-@ăn mòn<br>* verb<br>- To eat away, to corrode, to erode<br>=kim loại bị a xit ăn mòn+metals are eroded by acids<br>=lòng ganh tị gay gắt đã ăn mòn tình bạn lâu nay của họ+a bitter envy has corroded their long-standing friendship<br>=sự ăn mòn hoặc bị ăn mòn, chỗ bị ăn mòn+corrosion, erosion<br>=chất ăn mòn+corrosive</html>
ăn mảnh	<html>@ăn mảnh<br>-@ăn mảnh<br>* verb<br>- To work stealthily for one's own profits</html>
ăn mặc	<html>@ăn mặc<br>-@ăn mặc<br>* verb<br>- To dress<br>=ăn mặc gọn gàng+to dress neatly<br>=ăn chắc mặc bền+To eat stodgy food, to wear hard-wearing clothing; solidity first</html>
ăn mặn	<html>@ăn mặn<br>-@ăn mặn<br>* verb<br>- To eat meat</html>
ăn mừng	<html>@ăn mừng<br>-@ăn mừng<br>* verb<br>- To celebrate (with feasts and rejoicings)<br>=ăn mừng chiến thắng+to celebrate a military victory<br>=ăn mừng ngày cưới+to celebrate a wedding anniversary<br>=Ăn mừng nhà mới: Nhân dịp xây cất xong ngôi nhà, chủ nhân chọn ngày lành tháng tốt để dọn về nhà mo+'i. Nhân dịp này, chủ nhân sửa soạn lễ mời bà con, bạn bè đến để ăn mừng.+Ăn mừng nhà mới (Housewarming celebration): After the construction of a new house has been completed, the owner chooses a good date for moving in it. On this occasion, he celebrates a housewarming banquet at which the guests will share his happiness</html>
ăn người	<html>@ăn người<br>-@ăn người<br>* verb<br>- to gain advantage over others by one's wits, to get the better of others by one's wits</html>
ăn nhịp	<html>@ăn nhịp<br>-@ăn nhịp<br>- To be in tune<br>=kèn trống ăn nhịp với nhau+The trumpets and the drums play in tune<br>=kế hoạch năm năm này quả là ăn nhịp với công cuộc phát triển kinh tế đất nước+this five-year plan is really in tune with the development of the national economy</html>
ăn nói	<html>@ăn nói<br>-@ăn nói<br>* verb<br>- to speak, to say, to express oneself<br>=cách ăn nói+Manner of speaking<br>=ăn nói trước đám đông, ăn nói trước công chúng+to speak in public<br>=có quyền ăn nói+to have one's say<br>=cậu thanh niên này ăn nói rất xấc xược+this young man expresses himself very insolently<br>=ăn to nói lớn+to speak loud and openly<br>=ăn nói khéo léo+to be clever in speech, to be well-spoken<br>=ăn nói khoa trương+to be grandiloquent<br>=ăn nói nhẹ nhàng từ tốn</html>
ăn năn	<html>@ăn năn<br>-@ăn năn<br>* verb<br>- To repent, to show repentance (remorse, penitence), to eat humble pie<br>=kẻ sát nhân ấy không chút ăn năn về hành vi tàn bạo của mình+that murderer shows no repentance (remorse) for his cruelties<br>=hãy ăn năn tội và xin Chúa tha thứ+repent of your sins and ask God's forgiveness<br>=sự ăn năn hối hận+remorse, repentance, penitence<br>=ăn năn về sự dại dột của mình+to be repentant of one's folly<br>=người phạm tội nhưng biết ăn năn hối cải+a repentant (penitent, remorseful) sinner<br>=biểu hiện ăn năn hối cải+a repentant (remorseful) expression</html>
ăn nằm	<html>@ăn nằm<br>-@ăn nằm<br>* verb<br>- To be lodged, to be accommodated<br>=chỗ ăn nằm tiện nghi+comfortable lodgings<br>- To live as man and wife, to sleep together<br>=mụ đàn bà lăng loàn ấy sẵn sàng ăn nằm với bất kỳ người đàn ông nào giàu có+that termagant is ready to sleep with any rich man<br>=có tin đồn rằng họ đã ăn nằm với nhau trước đám cưới+rumour has it that they have lived together as husband and wife before their wedding, rumour has it that they have slept together (set up house together) before their wedding<br>=ăn chay nằm đất+to live in strict austerity (in sign of mourning or as religious observance)<br>=ăn đợi nằm chờ+to cool one's heels</html>
ăn quịt	<html>@ăn quịt<br>-@ăn quịt<br>* verb<br>-to eat without paying; to evade paying<br>=ăn quịt nợ+to evade paying one's debt</html>
ăn rỗi	<html>@ăn rỗi<br>-@ăn rỗi<br>* verb<br>- to devour voraciously<br>=gia đình đông con ăn như tằm ăn rỗi+the large family consumes food like silkworms devouring mulberry leaves<br>=ăn nhiều sôcôla đến mức phải nôn ra+to eat oneself sick on chocolate<br>=ăn đến nỗi ai phải sạt nghiệp+to eat someone out of house and home</html>
ăn sương	<html>@ăn sương<br>-@ăn sương<br>* verb<br>- To be a night-bird, to walk the streets<br>=gái ăn sương+street-walker, street-girl<br>=nghề ăn sương+a night-bird's occupation</html>
ăn sống	<html>@ăn sống<br>-@ăn sống<br>* verb<br>-to eat uncooked food</html>
ăn tham	<html>@ăn tham<br>-@ăn tham<br>* adjective<br>-greedy ; gluttonous</html>
ăn thua	<html>@ăn thua<br>-@ăn thua<br>- To play for the vanity of winning<br>=chơi cờ để giải trí, không cốt ăn thua+to play chess for amusement, not for the vanity of winning<br>- To make it, to succeed<br>=không có tiền thì không ăn thua+without money, we won't make it<br>=phải cố gắng gấp đôi mới ăn thua+we must work twice harder to make it</html>
ăn thề	<html>@ăn thề<br>-@ăn thề<br>* verb<br>- To take oath, to swear brotherhood (loyaltỵ..)<br>=uống máu ăn thề với nhau+to swear brotherhood by drinking blood<br>=làm lễ ăn thề+to hold an oath-taking ceremony</html>
ăn thừa	<html>@ăn thừa<br>-@ăn thừa<br>* verb<br>-to eat remains</html>
ăn thử	<html>@ăn thử<br>-@ăn thử<br>* verb<br>-to sample food, to taste</html>
ăn tiêu	<html>@ăn tiêu<br>-@ăn tiêu<br>* verb<br>- To spend money<br>=tay buôn lậu này ăn tiêu như một ông trùm maphia+this smuggler spends money as if he were a Mafia boss<br>=anh ta ăn tiêu rất hoang phí+money burns a hole in his pocket; he throws his money about<br>=kẻ ăn tiêu hoang phí+a spendthrift, a big spender, an extravagant spender<br>=thói quen ăn tiêu hoang phí+improvident spending habits<br>=ăn tiêu dè sẻn+to spend stingingly, to be parsimonious</html>
ăn tiền	<html>@ăn tiền<br>-@ăn tiền<br>* verb<br>- To take bribes<br>=quan lại ăn tiền của dân+The mandarins take bribes from the people<br>- To bring good results<br>=cách sắp xếp như vậy chắc chắn ăn tiền+such an arrangement will certainly bring good results</html>
ăn tiệc	<html>@ăn tiệc<br>-@ăn tiệc<br>* verb<br>-to attend a banquet; to feast</html>
ăn trộm	<html>@ăn trộm<br>-@ăn trộm<br>- To steal, to burgle<br>=dùng kẻ trộm trị kẻ trộm, lấy độc trị độc+to set a thief to catch a thief</html>
ăn tạp	<html>@ăn tạp<br>-@ăn tạp<br>* verb<br>-to gobble</html>
ăn tết	<html>@ăn tết<br>-@ăn tết<br>* verb<br>-to celebrate the New Year</html>
ăn uống	<html>@ăn uống<br>-@ăn uống<br>* verb<br>- To eat and drink<br>=ăn uống điều độ+to be temperate, to live temperately<br>- To give feasts, to entertain lavishly<br>=bỏ tục lệ ăn uống khi có ma chay cưới xin+to discontinue the habit of giving feasts on the occasion of a funeral or wedding</html>
ăn vã	<html>@ăn vã<br>-@ăn vã<br>- To eat without rice<br>=ăn vã đĩa thịt xào+to eat a dish of braised meat without rice</html>
ăn vạ	<html>@ăn vạ<br>-@ăn vạ<br>* verb<br>- To stage a sit-down (until one's debt is paid..)</html>
ăn vụng	<html>@ăn vụng<br>-@ăn vụng<br>* verb<br>-to eat stealthily; to eat on the sly<br>=ăn vụng như mèo+stolen kisses are eat</html>
ăn xin	<html>@ăn xin<br>-@ăn xin<br>* verb<br>- To beg<br>=người ăn xin, hành khất+beggar, mendicant</html>
ăn xén	<html>@ăn xén<br>-@ăn xén<br>* verb<br>-to graft</html>
ăn xổi	<html>@ăn xổi<br>-@ăn xổi<br>* verb<br>- To eat (consume) prematurely<br>=cà muối ăn xổi+pickled egg-fruit eaten prematurely<br>- To be impatient for result<br>=ăn xổi ở thì+to live by makeshifts</html>
ăn ý	<html>@ăn ý<br>-@ăn ý<br>- To be in agreement (in harmony) with one another, to sympathize with one another<br>=đôi bạn rất ăn ý với nhau+two friends sympathize deeply with each other<br>=mỗi người một ý, chẳng ai ăn ý với ai+pull devil, pull baker; none is in agreement with any other<br>- Acting harmoniously, acting in perfect teamwork<br>=các cầu thủ chơi rất ăn ý với nhau+The players are performing in perfect teamwork<br>=phối hợp cho ăn ý+to coordinate in teamwork</html>
ăn đong	<html>@ăn đong<br>-@ăn đong<br>- To live from hand to mouth</html>
ăn đường	<html>@ăn đường<br>-@ăn đường<br>- To use as travel provisions, to spend during travel<br>=đem gạo đi ăn đường+to bring rice as travel provisions<br>=tiền ăn đường, chi phí đi đường+travelling expenses</html>
ăn đứt	<html>@ăn đứt<br>-@ăn đứt<br>* verb<br>- To prevail over, to get the better of<br>=anh ta ăn đứt tôi về môn cầu lông+he gets the better of me at badminton<br>=tôi bảo đảm đội này ăn đứt đội kia+I am sure this team prevails over that one</html>
ăn ở	<html>@ăn ở<br>-@ăn ở<br>* verb<br>- to be accommodated, to be housed<br>=chỗ ăn ở, nơi ăn chốn ở+accommodation, housing<br>=cần có thêm nơi ăn chốn ở cho người nghèo+more housing is needed for poor people<br>=có chỗ ăn ở tồi tàn+to be poorly housed<br>=điều kiện ăn ở tồi tàn+poor housing conditions<br>=nhà khách này có thể lo việc ăn ở cho hai mươi du khách nước ngoài được hay không?+is this guest-house able to accommodate twenty foreign tourists?<br>- to conduct oneself, to behave<br>=tôi muốn biết các con tôi ăn ở như thế nào đối với mẹ chúng+I want to know how my children behave towards their mother<br>=tôi mong rằng anh sẽ ăn ở đàng hoàng hơn</html>
Đà Lạt	<html>@Đà Lạt<br>-@Đà Lạt<br>- Xem Lâm Đồng</html>
Đà Nẵng	<html>@Đà Nẵng<br>-@Đà Nẵng<br>- Xem Quảng Nam-Đà Nẵng</html>
Đông Đô	<html>@Đông Đô<br>-@Đông Đô<br>- Ancient name of Hà Nội</html>
đa	<html>@đa<br>-@đa<br>* noun<br>- banyan-tree much,many<br>=tối đa+maximum</html>
đa bào	<html>@đa bào<br>-@đa bào<br>* adj<br>- pluricellular</html>
đa bội	<html>@đa bội<br>-@đa bội<br>- (sinh vật) Pplypoid</html>
đa canh	<html>@đa canh<br>-@đa canh<br>- (nông) Polyculture</html>
đa cảm	<html>@đa cảm<br>-@đa cảm<br>* adj<br>- sentimental; sensitive; emotional</html>
đa cực	<html>@đa cực<br>-@đa cực<br>- (lý, sinh) Multipolar</html>
đa diện	<html>@đa diện<br>-@đa diện<br>* noun<br>- polyhedron</html>
đa dâm	<html>@đa dâm<br>-@đa dâm<br>* adj<br>- oversexed; lewd; lascivious</html>
đa dạng	<html>@đa dạng<br>-@đa dạng<br>- Multiform, diversified</html>
đa dục	<html>@đa dục<br>-@đa dục<br>* adjective<br>-senmal</html>
đa giác	<html>@đa giác<br>-@đa giác<br>* noun<br>- polygon,<br>* adj<br>- polygonal</html>
đa huyết	<html>@đa huyết<br>-@đa huyết<br>- Sanguine<br>=Khí chất đa huyết+Sanguine temperament</html>
đa hình	<html>@đa hình<br>-@đa hình<br>- (sinh, hóa, ddi.a) Polymorphic, polymorphous</html>
đa hôn	<html>@đa hôn<br>-@đa hôn<br>* adjective<br>-polygamous<br>=chế độ đa_hôn+polygarmy</html>
đa hộc	<html>@đa hộc<br>-@đa hộc<br>- Stone just quarried</html>
đa khoa	<html>@đa khoa<br>-@đa khoa<br>- (y học) General practice<br>=bác sĩ đa khoa+Polyclinic</html>
đa liên	<html>@đa liên<br>-@đa liên<br>- (y học) Polyvalent (of a vaccine)</html>
đa mang	<html>@đa mang<br>-@đa mang<br>* verb<br>- to take on many jobs at the same time, to set one's mind on</html>
đa mưu	<html>@đa mưu<br>-@đa mưu<br>* adj<br>- wily; cunning</html>
đa nghi	<html>@đa nghi<br>-@đa nghi<br>* adj<br>- suspicious; distrustfull</html>
đa nghĩa	<html>@đa nghĩa<br>-@đa nghĩa<br>- Polysemantic<br>=đa ngôn Đa ngôn đa quá+More have repented speech than silence</html>
đa nguyên	<html>@đa nguyên<br>-@đa nguyên<br>* adj<br>- polygenetic<br>=thuyết đa nguyên+pluralism</html>
đa phu	<html>@đa phu<br>-@đa phu<br>- Polyandrous, polygamous<br>=Chế độ đa phu+Polyandry, polygamy</html>
đa phương	<html>@đa phương<br>-@đa phương<br>- Multilateral<br>=Hiệp ước đa phương+Multilateral treaty</html>
đa phần	<html>@đa phần<br>-@đa phần<br>- (ít dùng)<br>-Most<br>-Mostly, for the most part</html>
đa quốc gia	<html>@đa quốc gia<br>-@đa quốc gia<br>- Multinational<br>=Công ty đa quốc gia+A multinational company</html>
đa sinh tố	<html>@đa sinh tố<br>-@đa sinh tố<br>- Polyvitamin</html>
đa sầu	<html>@đa sầu<br>-@đa sầu<br>* adj<br>- melancholy<br>=đa sầu đa cảm+Melancholy and sentimental</html>
đa số	<html>@đa số<br>-@đa số<br>* noun<br>- majority; generality<br>=đa số tuyệt đối, đa số áp đảo+absolute majority, overwhelming majority<br>=đa số tương đối+relative majority</html>
đa sự	<html>@đa sự<br>-@đa sự<br>- Meddlesome, behaving like a busybody</html>
đa thê	<html>@đa thê<br>-@đa thê<br>* adj<br>- polygamoug, polygynous</html>
đa thần giáo	<html>@đa thần giáo<br>-@đa thần giáo<br>* noun<br>- polytheism</html>
đa thọ	<html>@đa thọ<br>-@đa thọ<br>- Live long<br>=Đa thọ đa nhục+He lives long who suffer a lot</html>
đa thức	<html>@đa thức<br>-@đa thức<br>* noun<br>- polynomical</html>
đa tiết	<html>@đa tiết<br>-@đa tiết<br>- như đa âm tiết</html>
đa trị	<html>@đa trị<br>-@đa trị<br>- (ngôn ngữ, y học) Polyvalent</html>
đa tài	<html>@đa tài<br>-@đa tài<br>- Of versatile talent</html>
đa tình	<html>@đa tình<br>-@đa tình<br>* adj<br>- sentimental, amorous</html>
đa túc	<html>@đa túc<br>-@đa túc<br>- (động vật) Myriapod</html>
đa tạ	<html>@đa tạ<br>-@đa tạ<br>- Show deep gratitude, express heartfelt thanks, be very graceful</html>
đa âm	<html>@đa âm<br>-@đa âm<br>* adjective<br>-polysyllabic; polyphonic</html>
đa âm tiết	<html>@đa âm tiết<br>-@đa âm tiết<br>- Polysyllabic</html>
đa đa	<html>@đa đa<br>-@đa đa<br>- cũng nói gà gô Francolin</html>
đa đinh	<html>@đa đinh<br>-@đa đinh<br>- Having many sons</html>
đa đoan	<html>@đa đoan<br>-@đa đoan<br>- Complicate, tangled</html>
đai	<html>@đai<br>-@đai<br>* verb<br>- to bear; to embroider<br>* noun<br>- belt<br>=mũ bạc đai vàng+A silver hat and a gold belt<br>-Band; hoop<br>=đai trống+a tomtom hoop</html>
đai truyền	<html>@đai truyền<br>-@đai truyền<br>- Driving belt</html>
đai ốc	<html>@đai ốc<br>-@đai ốc<br>- Screw nut</html>
đam	<html>@đam<br>-@đam<br>- (cũ, í dùng) Indulge in</html>
đam mê	<html>@đam mê<br>-@đam mê<br>* verb<br>- to indulge</html>
đan	<html>@đan<br>-@đan<br>* verb<br>- to knit; to weavear</html>
đan lát	<html>@đan lát<br>-@đan lát<br>- Knit<br>=Plait, weave (nói khái quát).+weave</html>
đan quế	<html>@đan quế<br>-@đan quế<br>- (văn chương) Red cinnamon; the moon</html>
đan trì	<html>@đan trì<br>-@đan trì<br>- (cũ) Canopied dais; the throne<br>=Khấu đầu lạy tru+'o+c đan trì+To kow tow before the canopied dais</html>
đan tâm	<html>@đan tâm<br>-@đan tâm<br>- (văn chương) Loyalty, constancy</html>
đang	<html>@đang<br>-@đang<br>* verb<br>- to be the process of<br>* verb<br>- to take on the responsibility of</html>
đang cai	<html>@đang cai<br>-@đang cai<br>- xem đăng cai</html>
đang khi	<html>@đang khi<br>-@đang khi<br>- While</html>
đang tay	<html>@đang tay<br>-@đang tay<br>=Be ruthless enough to Đang tay đánh một em bé+To be ruthless enough to beat a child<br><br>@đang tay<br>- Be ruthless enough tọ<br>=Đang tay đánh một em bé+To be ruthless enough to beat a child</html>
đang thì	<html>@đang thì<br>-@đang thì<br>- Be in the flush of youth</html>
đang tâm	<html>@đang tâm<br>-@đang tâm<br>- Be callous enough tọ<br>=Đang tâm giết cả trẻ em, đàn bà và người già+To be callous enough to massacre children, women and old people</html>
đanh	<html>@đanh<br>-@đanh<br>- (địa phương) như đinh<br>-Hard, hard and dry<br>=Tấm gỗ đanh+A hard and dry board<br>-Sharp (of sounds)<br>-Hardened, impessive (of expression)</html>
đanh thép	<html>@đanh thép<br>-@đanh thép<br>- Incisive, trenchant<br>=Lời nói đanh thép+Trenchant words<br>=Văn đanh thép+an incisive style</html>
đao	<html>@đao<br>-@đao<br>* noun<br>- knife</html>
đao binh	<html>@đao binh<br>-@đao binh<br>- như binh đao</html>
đao kiếm	<html>@đao kiếm<br>-@đao kiếm<br>- Knife-shaped lance and sword; weapons</html>
đao phủ	<html>@đao phủ<br>-@đao phủ<br>- Excutioner, headsman, hangman</html>
đao thương	<html>@đao thương<br>-@đao thương<br>- (văn chương) như binh đao</html>
đau	<html>@đau<br>-@đau<br>* adj<br>- sore; tender; aching<br>=mắt đau+Sore eyes<br>* adj<br>- ill; sick; diseased</html>
đau buồn	<html>@đau buồn<br>-@đau buồn<br>* adj<br>- distressed; desolate</html>
đau bão	<html>@đau bão<br>-@đau bão<br>- Colic accompanied with lumbar pains</html>
đau bụng	<html>@đau bụng<br>-@đau bụng<br>- Colic</html>
đau khổ	<html>@đau khổ<br>-@đau khổ<br>* verb<br>- to suffer great misery ; to feel wretched</html>
đau lòng	<html>@đau lòng<br>-@đau lòng<br>* verb<br>- to feel great arguish, to feel deep grief</html>
đau mắt	<html>@đau mắt<br>-@đau mắt<br>- Sore eyes</html>
đau nau	<html>@đau nau<br>-@đau nau<br>- Labour pains</html>
đau xót	<html>@đau xót<br>-@đau xót<br>- Feel,great anguish</html>
đau đáu	<html>@đau đáu<br>-@đau đáu<br>- Be on tenterhooks, feel anxious</html>
đau đầu	<html>@đau đầu<br>-@đau đầu<br>- Headache</html>
đau đẻ	<html>@đau đẻ<br>-@đau đẻ<br>- Labour pain</html>
đau đớn	<html>@đau đớn<br>-@đau đớn<br>* adj<br>- painful; sorrowful</html>
đau ốm	<html>@đau ốm<br>-@đau ốm<br>- (cũng nói) đau yếu<br>-Be ill, ail<br>=Đau ốm suốt năm không làm được việc gì+To be ailing the whole year and not be able to get anything done</html>
đay	<html>@đay<br>-@đay<br>* noun<br>- jute</html>
đay nghiến	<html>@đay nghiến<br>-@đay nghiến<br>* verb<br>- to grumble; to complain in a sullen</html>
đay đảy	<html>@đay đảy<br>-@đay đảy<br>- Flatly<br>=Từ chối đay đảy+To refuse flatly<br>=Chối đay đảy+To deny flatly</html>
đe	<html>@đe<br>-@đe<br>* noun<br>- anvil</html>
đe dọa	<html>@đe dọa<br>-@đe dọa<br>* verb<br>- to threaten; to menace</html>
đe loi	<html>@đe loi<br>-@đe loi<br>- nh đe dọa</html>
đem	<html>@đem<br>-@đem<br>* verb<br>-to bring; to carry<br>= đem tin+to bring news</html>
đem lòng	<html>@đem lòng<br>-@đem lòng<br>- Entertian the feeling of<br>=Đem lòng luyến tiếc thời còn trẻ+To entertian the feeling of regretfor one's youth</html>
đem lại	<html>@đem lại<br>-@đem lại<br>* verb<br>-to bring about</html>
đem sang	<html>@đem sang<br>-@đem sang<br>- Carry over (trong kế toán)</html>
đem theo	<html>@đem theo<br>-@đem theo<br>- Take [with one]<br>=Nhớ đem theo ô nhỡ trời mưa+Don't forget to take [with you] an umbrellain case it rains</html>
đem thân	<html>@đem thân<br>-@đem thân<br>- Risk one's life<br>=Đem thân ra chốn chiến trường+To risk one's life at th battlefield</html>
đem về	<html>@đem về<br>-@đem về<br>* verb<br>- to take in</html>
đen	<html>@đen<br>-@đen<br>* adj<br>- black; unlucky<br>=vận đen+bad luck</html>
đen bạc	<html>@đen bạc<br>-@đen bạc<br>- Ungrateful<br>=Ăn ở đen bạc+To behave ungratefully</html>
đen giòn	<html>@đen giòn<br>-@đen giòn<br>- Attractively tawny<br>=Cô ta đen giòn Her coplexion is attractively tawny</html>
đen kịt	<html>@đen kịt<br>-@đen kịt<br>- Black, inky-black</html>
đen nghịt	<html>@đen nghịt<br>-@đen nghịt<br>- Very crowed, overcrowed</html>
đen ngòm	<html>@đen ngòm<br>-@đen ngòm<br>- Picth-black, picth-dark</html>
đen nhánh	<html>@đen nhánh<br>-@đen nhánh<br>- Shining black</html>
đen sì	<html>@đen sì<br>-@đen sì<br>- Very black</html>
đen tối	<html>@đen tối<br>-@đen tối<br>* adj<br>- dark<br>=tư tưởng đen tối+dark throught</html>
đen đen	<html>@đen đen<br>-@đen đen<br>- xem đen (láy)</html>
đen đét	<html>@đen đét<br>-@đen đét<br>- xem đét (láy)</html>
đen đỏ	<html>@đen đỏ<br>-@đen đỏ<br>- cũng như đỏ đen Chance, luck (in gambling)<br>=Trò đen đỏ+Games of chance</html>
đen đủi	<html>@đen đủi<br>-@đen đủi<br>- Black<br>=Mặt mũi đen đủi+A black face<br>-Bad, unlucky<br>=Vận đen đủi+Bad luck, unlucky lot</html>
đeo	<html>@đeo<br>-@đeo<br>* verb<br>- to carry; to wear; to put on</html>
